Unnamed: 0,Ticker,Headline,Date,Close,1d_return,3d_return,5d_return,max_abs_return,label,score,Correct_labels
6266,ADANIENSOL,"AGEL clarifies on TotalEnergies' update: Adani Green, Adani Energy & Adani Total shares slump up to 8% - Business Today",2024-11-26,600.75,9.995836537661257,39.90844777361631,34.332084893882644,39.90844777361631,neutral,0.6111131310462952,negative
6275,ADANIENSOL,Adani Energy Solutions shares hit 52-week low! Stock down 28% in 3 sessions; more pain ahead? - Business Today,2024-11-25,625.200012,-3.9107504047840633,16.258791114674505,29.07869234014026,29.07869234014026,neutral,0.9989460110664368,negative
2166,ADANIPORTS,"Fundamental Analysis of Adani Ports – Industry, Financials & More - Trade Brains",2023-01-22,756.968079,-1.020733134507778,-7.268706769337893,-22.378262267516305,22.378262267516305,neutral,0.9980423450469972,neutral
4815,CONCOR,Rail PSUs under scrutiny for giving unauthorized financial incentives - The Sunday Guardian Live,2024-06-02,1154.349365,-19.203742794106365,-15.414093895222097,-10.172432935846931,19.203742794106365,neutral,0.9961036443710328,negative
3151,INDUSINDBK,"Q2 results today: ITC, IndusInd Bank, NTPC, Bikaji Foods among others to declare earnings on October 24; check list - Upstox",2024-10-24,1280.050049,-18.628183576593884,-17.596968194795952,-18.89770053827012,18.89770053827012,neutral,0.9995740056037904,neutral
6540,ESCORTS,"This CFP says helping strippers, prostitutes and porn stars manage their money has business and moral benefits - financial-planning.com",2022-04-06,1859.946777,-9.217215466590746,-15.113268749194978,-18.511166838619705,18.511166838619705,neutral,0.9995198249816896,neutral
6425,COFORGE,COFORGE LIMITED Shares Tumble 4.11% Amid Volume Surge - Moneycontrol,2025-04-01,1556.160034,-0.2474022540023724,-15.074290103507437,-18.508380417640264,18.508380417640264,neutral,0.9996798038482666,negative
6444,COFORGE,"Mid-tier IT firms reap gains from smaller deals; Coforge, LTTS, & Mphasis major gainers - financialexpress.com",2025-03-31,1556.160034,-0.2474022540023724,-8.012032906379083,-18.508380417640264,18.508380417640264,neutral,0.9985755681991576,positive
5109,INDUSTOWER,"Stocks To Watch: TCS, Adani Group, Avenue Supermarts, Infosys, Signature Global, Macrotech Developers, Coal India, Indus Towers - financialexpress.com",2025-01-13,320.5,6.177843369734784,10.62402121684867,17.19188954758191,17.19188954758191,neutral,0.9995864033699036,neutral
6150,MOTHERSON,Analyst corner: Motherson Sumi expects current crisis to offer M&A opportunities - financialexpress.com,2020-04-17,34.568211,-2.419341284395655,-17.1082964056196,-15.725797901430305,17.1082964056196,neutral,0.9997541308403016,positive
4646,BIOCON,"Stocks to watch: M&M Finance, Dr Reddy's, Welspun, Biocon, JP Associates, Zee - Mint",2024-06-04,290.497406,4.932976923036624,15.50361451420327,16.844277776442517,16.844277776442517,neutral,0.9997908473014832,neutral
4647,BIOCON,"Stock Radar: M&M Financial, Biocon, Dr Reddys Labs, Sansera Engineering, Kalyan Jewellers in focus on... - Moneycontrol",2024-06-04,290.497406,4.932976923036624,15.50361451420327,16.844277776442517,16.844277776442517,neutral,0.9998335838317872,neutral
1457,SUNPHARMA,"Whistleblower Files 150-Page Complaint with SEBI about Sudhir Valia Group, Dilip Shanghvi and Sun Pharma - Moneylife",2018-11-30,462.100464,-7.5517755809914116,-10.089328324067646,-16.169307503660065,16.169307503660065,neutral,0.9997850060462952,negative
